IATA,ICAO,Airport name,Country,City
LBE,KLBE,Arnold Palmer Regional Airport,United States of America,Latrobe
LBF,KLBF,North Platte Regional Airport Lee Bird Field,United States of America,North Platte
LBG,LFPB,Paris-Le Bourget Airport,France,Paris
LBI,LFCI,Albi-Le Séquestre Airport,France,Albi/Le Séquestre
LBJ,WATO,Komodo Airport,Indonesia,Labuan Bajo - Flores Island
LBK,,Liboi Airport,Kenya,Liboi
LBL,KLBL,Liberal Mid-America Regional Airport,United States of America,Liberal
LBM,,Luabo Airport,Mozambique,Luabo
LBN,,Lake Baringo Airport,Kenya,Lake Baringo
LBO,FZVI,Lusambo Airport,Democratic Republic of the Congo,Lusambo
LBP,,Long Banga Airport,Malaysia,Long Banga
LBQ,FOGR,Lambarene Airport,Gabon,Lambarene
LBR,SWLB,Lábrea Airport,Brazil,Lábrea
LBS,NFNL,Labasa Airport,Fiji,Lambasa
LBT,KLBT,Lumberton Regional Airport,United States of America,Lumberton
LBU,WBKL,Labuan Airport,Malaysia,Labuan
LBV,FOOL,Libreville Leon M'ba International Airport,Gabon,Libreville
LBW,WRLB,Long Bawan Airport,Indonesia,Long Bawan-Borneo Island
LBX,RPLU,Lubang Airport,Philippines,Lubang
LBY,LFRE,La Baule-Escoublac Airport,France,La Baule-Escoublac
LBZ,FNLK,Lucapa Airport,Angola,Lucapa
LCA,LCLK,Larnaca International Airport,Cyprus,Larnarca
LCB,SWBG,Pontes e Lacerda Airport,Brazil,Pontes e Lacerda
LCC,LIBN,Lecce Galatina Air Base,Italy,San Donato di Lecce
LCD,FALO,Louis Trichardt Airport,South Africa,Louis Trichardt
LCE,MHLC,Goloson International Airport,Honduras,La Ceiba
LCF,MGRD,Las Vegas Airport,Guatemala,Rio Dulce
LCG,LECO,A Coruña Airport,Spain,Culleredo
LCH,KLCH,Lake Charles Regional Airport,United States of America,Lake Charles
LCI,KLCI,Laconia Municipal Airport,United States of America,Laconia
LCJ,EPLL,Łódź Władysław Reymont Airport,Poland,Łódź
LCK,KLCK,Rickenbacker International Airport,United States of America,Columbus
LCL,MULM,La Coloma Airport,Cuba,Pinar del Rio
LCM,SACC,La Cumbre Airport,Argentina,La Cumbre
LCN,YBLC,Balcanoona Airport,Australia,
LCO,FCBL,Lague Airport,Republic of the Congo,Lague
LCP,,Loncopue Airport,Argentina,Loncopue
LCQ,KLCQ,Lake City Gateway Airport,United States of America,Lake City
LCR,,La Chorrera Airport,Colombia,La Chorrera
LCV,LIQL,Lucca-Tassignano Airport,Italy,Lucca
LCX,ZSLD,Longyan Guanzhishan Airport,China,Longyan
LCY,EGLC,London City Airport,United Kingdom,London
LDA,VEMH,Malda Airport,India,Malda
LDB,SBLO,Governador José Richa Airport,Brazil,Londrina
LDC,YLIN,Lindeman Island Airport,Australia,Lindeman Island
LDE,LFBT,Tarbes-Lourdes-Pyrénées Airport,France,Tarbes/Lourdes/Pyrénées
LDG,ULAL,Leshukonskoye Airport,Russia,Leshukonskoye
LDH,YLHI,Lord Howe Island Airport,Australia,Lord Howe Island
LDI,HTLI,Lindi Airport,Tanzania,Lindi
LDJ,KLDJ,Linden Airport,United States of America,Linden
LDK,ESGL,Lidköping-Hovby Airport,Sweden,Lidköping
LDM,KLDM,Mason County Airport,United States of America,Ludington
LDN,VNLD,Lamidanda Airport,Nepal,Lamidanda
LDO,,Ladouanie Airport,Suriname,Aurora
LDS,ZYLD,Lindu Airport,China,Yichun
LDU,WBKD,Lahad Datu Airport,Malaysia,Lahad Datu
LDV,LFRJ,Landivisiau Air Base,France,Landivisiau
LDW,,Lansdowne Airport,Australia,Lansdowne Station
LDX,SOOM,Saint-Laurent-du-Maroni Airport,French Guiana,Saint-Laurent-du-Maroni
LDY,EGAE,City of Derry Airport,United Kingdom,Derry
LDZ,FALD,Londolozi Airport,South Africa,Londolozi
LEA,YPLM,Learmonth Airport,Australia,Exmouth
LEB,KLEB,Lebanon Municipal Airport,United States of America,Lebanon
LEC,SBLE,Coronel Horácio de Mattos Airport,Brazil,Lençóis
LED,ULLI,Pulkovo Airport,Russia,St. Petersburg
LEE,KLEE,Leesburg International Airport,United States of America,Leesburg
LEF,FXLK,Lebakeng Airport,Lesotho,Lebakeng
LEH,LFOH,Le Havre Octeville Airport,France,Le Havre/Octeville
LEI,LEAM,Almería International Airport,Spain,Almería
LEJ,EDDP,Leipzig/Halle Airport,Germany,Leipzig
LEK,GULB,Tata Airport,Guinea,Labé
LEL,YLEV,Lake Evella Airport,Australia,
LEM,KLEM,Lemmon Municipal Airport,United States of America,Lemmon
LEN,LELN,Leon Airport,Spain,León
LEO,,Lekoni Airport,Gabon,Lekoni
LEP,SNDN,Leopoldina Airport,Brazil,Leopoldina
LEQ,EGHC,Land's End Airport,United Kingdom,Land's End
LER,YLST,Leinster Airport,Australia,
LES,FXLS,Lesobeng Airport,Lesotho,Lesobeng
LET,SKLT,Alfredo Vásquez Cobo International Airport,Colombia,Leticia
LEU,LESU,Pirineus - la Seu d'Urgel Airport,Spain,La Seu d'Urgell Pyrenees and Andorra
LEV,NFNB,Levuka Airfield,Fiji,Bureta
LEW,KLEW,Auburn Lewiston Municipal Airport,United States of America,Auburn/Lewiston
LEX,KLEX,Blue Grass Airport,United States of America,Lexington
LEY,EHLE,Lelystad Airport,Netherlands,Lelystad
LEZ,MHLE,La Esperanza Airport,Honduras,La Esperanza
LFB,FQLU,Lumbo Airport,Mozambique,Lumbo
LFI,KLFI,Langley Air Force Base,United States of America,Hampton
LFK,KLFK,Angelina County Airport,United States of America,Lufkin
LFM,OISR,Lamerd Airport,Iran,Lamerd
LFN,KLHZ,Triangle North Executive Airport,United States of America,Louisburg
LFO,HAKL,Kelafo East Airport,Ethiopia,Kelafo
LFP,YLFD,Lakefield Airport,Australia,Lakefield
LFQ,ZBLF,Linfen Qiaoli Airport,China,Linfen
LFR,SVLF,La Fria Airport,Venezuela,La Fría
LFT,KLFT,Lafayette Regional Airport,United States of America,Lafayette
LFW,DXXX,Lomé-Tokoin Airport,Togo,Lomé
LGA,KLGA,La Guardia Airport,United States of America,New York
LGB,KLGB,Long Beach /Daugherty Field/ Airport,United States of America,Long Beach
LGC,KLGC,LaGrange Callaway Airport,United States of America,Lagrange
LGD,KLGD,La Grande/Union County Airport,United States of America,La Grande
LGE,,Mulan Airport,Australia,Lake Gregory
LGF,KLGF,Laguna Army Airfield,United States of America,Yuma Proving Ground(Yuma)
LGG,EBLG,Liège Airport,Belgium,Liège
LGH,YLEC,Leigh Creek Airport,Australia,
LGI,MYLD,Deadman's Cay Airport,Bahamas,Deadman's Cay
LGK,WMKL,Langkawi International Airport,Malaysia,Langkawi
LGL,WBGF,Long Lellang Airport,Malaysia,Long Datih
LGN,,Linga Linga Airport,Papua New Guinea,Linga Linga
LGO,EDWL,Langeoog Airport,Germany,Langeoog
LGP,RPLP,Legazpi City International Airport,Philippines,Legazpi City
LGQ,SENL,Nueva Loja Airport,Ecuador,Lago Agrio
LGR,SCHR,Cochrane Airport,Chile,Cochrane
LGS,SAMM,Comodoro D.R. Salomón Airport,Argentina,Malargue
LGT,SKGA,La Gaviota Airport,Colombia,
LGU,KLGU,Logan-Cache Airport,United States of America,Logan
LGW,EGKK,London Gatwick Airport,United Kingdom,London
LGX,HCMJ,Lugh Ganane Airport,Somalia,Luuq
LGY,,Lagunillas Airport,Venezuela,Lagunillas
LHA,EDTL,Lahr Airport,Germany,Friesenheim
LHE,OPLA,Alama Iqbal International Airport,Pakistan,Lahore
LHG,YLRD,Lightning Ridge Airport,Australia,Lightning Ridge
LHI,WAJL,Lereh Airport,Indonesia,Lereh-Papua Island
LHK,ZHGH,Guangzhou MR Air Base,China,Guanghua
LHR,EGLL,London Heathrow Airport,United Kingdom,London
LHS,SAVH,Las Heras Airport,Argentina,Las Heras
LHU,FYLS,Lianshulu Airport,Namibia,Lianshulu Lodge
LHV,KLHV,William T. Piper Memorial Airport,United States of America,Lock Haven
LHW,ZLLL,Lanzhou Zhongchuan Airport,China,Lanzhou
LIA,ZULP,Liangping Airport,China,Liangping
LIB,YLIM,Limbunya Airport,Australia,Limbunya
LIC,KLIC,Limon Municipal Airport,United States of America,Limon
LIE,FZFA,Libenge Airport,Democratic Republic of the Congo,Libenge
LIF,NWWL,Lifou Airport,New Caledonia,Lifou
LIG,LFBL,Limoges Airport,France,Limoges/Bellegarde
LIH,PHLI,Lihue Airport,United States of America,Lihue
LII,WAJM,Mulia Airport,Indonesia,Mulia-Papua Island
LIK,,Likiep Airport,Marshall Islands,Likiep Island
LIL,LFQQ,Lille-Lesquin Airport,France,Lille/Lesquin
LIM,SPIM,Jorge Chávez International Airport,Peru,Lima
LIN,LIML,Milano Linate Airport,Italy,Milan
LIO,MRLM,Limon International Airport,Costa Rica,Puerto Limon
LIP,SBLN,Lins Airport,Brazil,Lins
LIQ,FZGA,Lisala Airport,Democratic Republic of the Congo,Lisala
LIR,MRLB,Daniel Oduber Quiros International Airport,Costa Rica,Liberia
LIS,LPPT,Humberto Delgado Airport,Portugal,Lisbon
LIT,KLIT,Bill & Hillary Clinton National Airport/Adams Field,United States of America,Little Rock
LIV,,Livengood Camp Airport,United States of America,Livengood
LIW,VYLK,Loikaw Airport,Myanmar,Loikaw
LIX,FWLK,Likoma Island Airport,Malawi,Likoma Island
LIY,KLHW,Wright AAF (Fort Stewart)/Midcoast Regional Airport,United States of America,Fort Stewart(Hinesville)
LIZ,,Loring International Airport,United States of America,Limestone
LJA,FZVA,Lodja Airport,Democratic Republic of the Congo,Lodja
LJG,ZPLJ,Lijiang Airport,China,Lijiang
LJN,KLBX,Texas Gulf Coast Regional Airport,United States of America,Angleton/Lake Jackson
LJU,LJLJ,Ljubljana Jože Pučnik Airport,Slovenia,Ljubljana
LKA,WRKL,Gewayentana Airport,Indonesia,Larantuka-Flores Island
LKB,NFNK,Lakeba Island Airport,Fiji,Lakeba Island
LKC,,Lekana Airport,Republic of the Congo,Lekana
LKD,YLND,Lakeland Airport,Australia,Lakeland Downs
LKG,HKLK,Lokichoggio Airport,Kenya,Lokichoggio
LKH,WBGL,Long Akah Airport,Malaysia,Long Akah
LKK,PAKL,Kulik Lake Airport,United States of America,Kulik Lake
LKL,ENNA,Banak Airport,Norway,Lakselv
LKN,ENLK,Leknes Airport,Norway,Leknes
LKO,VILK,Chaudhary Charan Singh International Airport,India,Lucknow
